well_id,cycle_number,injection_start_date,steam_volume_tonnes,injection_pressure_barg,soak_days,production_start_date,production_days_actual,peak_wellbore_temp_C,thermal_decay_tau_days,cycle_oil_produced_bbl,cumulative_oil_bbl,cumulative_steam_tonnes,steam_oil_ratio_SOR,rod_failure_in_cycle
BGW-010,2,2019-07-20,533.4,24.2,8,2019-07-28,109,140.1,25.7,8344.9,18977.8,1530.2,0.51,False
BGW-010,3,2019-11-18,938.7,42.3,4,2019-11-22,103,165.8,33.8,9170.2,28148.0,2468.9,0.55,False
BGW-010,4,2020-03-11,1060.4,35.4,8,2020-03-19,83,169.8,36.2,8212.6,36360.7,3529.3,0.61,False
BGW-010,5,2020-06-17,1384.2,36.2,3,2020-06-20,47,186.3,42.7,5382.3,41742.9,4913.5,0.74,False
BGW-010,6,2020-08-11,734.1,24.4,4,2020-08-15,149,150.2,29.7,10452.7,52195.6,5647.6,0.68,False
BGW-011,1,2019-07-09,1096.2,42.3,5,2019-07-14,143,174.0,36.9,11952.8,11952.8,1096.2,0.58,True
BGW-011,2,2019-12-09,608.9,38.3,7,2019-12-16,72,148.4,27.2,6478.1,18430.9,1705.2,0.58,False
BGW-011,3,2020-02-28,466.3,36.5,6,2020-03-05,101,140.8,24.3,7675.1,26106.0,2171.5,0.52,False
BGW-011,4,2020-06-21,805.7,28.3,4,2020-06-25,52,155.3,31.1,5377.8,31483.8,2977.2,0.59,False
BGW-011,5,2020-08-21,1013.6,39.1,4,2020-08-25,116,168.9,35.3,10270.7,41754.5,3990.8,0.6,True
BGW-012,1,2019-06-29,741.6,23.5,5,2019-07-04,111,151.0,29.8,5097.3,5097.3,741.6,0.92,True
BGW-012,2,2019-10-30,1291.9,24.7,9,2019-11-08,139,178.9,40.8,8116.8,13214.1,2033.5,0.97,False
BGW-012,3,2020-03-29,1430.0,37.1,7,2020-04-05,51,189.5,43.6,5082.9,18297.0,3463.5,1.19,False
BGW-012,4,2020-05-29,814.7,44.3,3,2020-06-01,92,160.9,31.3,5415.4,23712.4,4278.2,1.13,False
BGW-013,1,2019-06-09,1019.5,43.1,3,2019-06-12,122,170.1,35.4,6941.5,6941.5,1019.5,0.92,False
BGW-013,2,2019-10-16,415.3,42.9,8,2019-10-24,136,139.8,23.3,4515.4,11456.9,1434.8,0.79,False
BGW-013,3,2020-03-11,532.3,19.1,8,2020-03-19,108,138.6,25.6,4416.6,15873.5,1967.1,0.78,False
BGW-013,4,2020-07-08,645.6,33.5,5,2020-07-13,135,148.5,27.9,5382.1,21255.6,2612.8,0.77,True
BGW-013,5,2020-12-04,788.6,26.9,8,2020-12-12,97,153.7,30.8,5406.6,26662.3,3401.4,0.8,True
BGW-013,6,2021-03-28,704.1,37.2,3,2021-03-31,109,152.6,29.1,5307.0,31969.2,4105.5,0.81,False
BGW-014,1,2019-06-02,431.2,21.5,4,2019-06-06,96,134.2,23.6,4435.0,4435.0,431.2,0.61,False
BGW-014,2,2019-09-12,405.0,38.3,6,2019-09-18,70,137.9,23.1,3899.2,8334.2,836.2,0.63,False
BGW-014,3,2019-12-02,1290.8,24.4,9,2019-12-11,125,178.1,40.8,8544.1,16878.3,2127.0,0.79,False
BGW-015,1,2019-02-02,1065.4,22.0,9,2019-02-11,124,165.9,36.3,5715.8,5715.8,1065.4,1.17,False
BGW-015,2,2019-06-23,614.7,20.3,7,2019-06-30,126,142.8,27.3,4102.0,9817.8,1680.0,1.08,True
BGW-015,3,2019-11-12,1433.8,26.2,6,2019-11-18,97,185.5,43.7,6636.3,16454.2,3113.9,1.19,False
BGW-015,4,2020-02-29,1011.2,40.6,6,2020-03-06,104,168.7,35.2,5415.6,21869.7,4125.1,1.19,False
BGW-015,5,2020-06-22,779.9,32.8,6,2020-06-28,85,154.8,30.6,4285.5,26155.3,4905.0,1.18,False
BGW-015,6,2020-09-29,550.3,25.5,5,2020-10-04,77,141.2,26.0,3321.6,29476.9,5455.3,1.16,False
